STT	Tr¶ lêi	C©u Hái		B	C	D
854	A	N¬i lßng s«ng Mª K«ng më réng nhÊt thuéc biªn giíi n­íc nµo?	Lµo - Campuchia	ViÖt Nam - Campuchia	Trung Quèc - Myanmar	Myanmar - Th¸i Lan
855	A	Lo¹i ®¸ ®­îc h×nh thµnh tõ x¸c ®éng vËt?	§¸ v«i	§¸ catket	§¸ trÇm tÝch	§¸ magma
856	A	Lo¹i ®Êt cã diÖn tÝch lín nhÊt §ång b»ng S«ng Cöu Long?	§Êt PhÌn	§Êt ®Çm lÇy	§Êt mÆn	§Êt phï sa
857	A	S«ng dµi thø ba thÕ giíi?	Mississippi	Nil	Amazon	Hoµng Hµ
858	A	Bøc tranh ®iªu kh¾c b»ng ®¸ to nhÊt, dµi nhÊt thÕ giíi n»m ë ®©u?	Campuchia	Trung Quèc	Mü	Lµo
859	A	§Òu ®Æc biÖt Kimono y phôc truyÒn thèng cña NhËt B¶n lµ g×?	ChØ cã mét kÝch cì	ChØ mÆc vµo mïa ®«ng	Lµm b»ng lo¹i lôa ®Æc biÖt	Kh«ng thÓ tù mÆc
860	A	L¸ cê ®á sao vµng lÇn ®Çu tiªn xuÊt hiÖn vµo trong thêi gian nµo?	Khëi nghÜa Nam Kú	Khëi nghÜa H­¬ng Khª	Binh biÕn §« L­¬ng	Khëi nghÜa B¾c S¬n
861	A	TiÕng viÖt lµ ng«n ng÷ phæ biÕn thø mÊy t¹i Mü?	7	5	6	8
862	A	Thôy §iÓn næi tiÕng víi thÓ lo¹i nh¹c nµo?	Pop	Dance	Jazz	Cæ ®iÓn
863	A	C.M¸c lµm Tæng biªn tËp cho tê b¸o nµo vµo n¨m 1842?	B¸o s«ng Ranh	Biªn niªn Ph¸p §øc	T×nh c¶nh giai cÊp CN Anh	Tuyªn ng«n §¶ng Céng s¶n
864	A	ë §«ng Nam ¸, §¶ng Céng s¶n ®­îc thµnh lËp ®Çu tiªn t¹i n­íc nµo?	Indonesia	ViÖt Nam	Lµo	Campuchia
865	A	Di Hßa Viªn lµ n¬i næi tiÕng vÒ nghÖ thuËt hoa viªn truyÒn thèng cña Trung Quèc. B¹n cho biÕt lÞch sö tån t¹i cña no (n¨m).	800	500	700	1
866	A	B¹n cho biÕt th¸p Rïa ®­îc x©y dùng ë thÕ kû nµo?	18	15	16	17
867	A	B¹n cho biÕt vua Lª nµo ®­îc lÞch sö t«n lµm anh hïng?	Lª Th¸i Tæ	Lª HiÒn T«ng	Lª Chiªu T«ng	Lª Th¸nh T«ng
868	A	Christopher Columbus ®­îc sinh ra ë ®©u?	Italia	Anh	Ph¸p	§øc
869	A	Khèi Warszawa lµ mét liªn minh gåm bao nhiªu n­íc?	8	4	5	6
870	A	B¹n cho biÕt kho¶ng bao nhiªu phÇn tr¨m d©n sè ViÖt Nam sö dông tiÕng ViÖt (%)?	85	68	90	95
871	A	B¹n cho biÕt th¸p CN (CN Tower) lµ ngän th¸p næi tiÕng thÕ giíi cña thµnh phè nµo?	Toronto	Tokyo	New York	London
872	A	Che Guevara hay El Che lµ mét nhµ ho¹t ®éng c¸ch m¹ng næi tiÕng, b¹n cho biÕt «ng lµ ng­êi n­íc nµo?	Argentina	Cuba	Venezuela	Mexico
873	A	§ång tiÒn chung Ch©u ¢u (Euro) chÝnh thøc ®­îc l­u hµnh vµo n¨m nµo?	2002	1998	2000	2001
874	A	D­íi ®êi nhµ TrÇn, ai lµ thÇy gi¸o, nhµ nho ®­îc nhiÒu ng­êi träng dông nhÊt?	Chu V¨n An	Tr­¬ng H¸n Siªu	NguyÔn Tr·i	Ph¹n S­ M¹nh
875	A	Tæ chøc duy tr× hßa b×nh vµ an ninh thÕ giíi, ph¸t triÓn mèi quan hÖ gi÷a c¸c d©n téc trªn thÕ giíi trªn c¬ së t«n träng ®éc lËp.	Liªn hîp quèc	WTO	Liªn minh Ch©u ¢u	ASEAN
876	A	VÞ tr¹ng nguyªn nhá tuæi nhÊt trong lÞch sö ViÖt Nam	NguyÔn HiÒn	Lª V¨n ThÞnh	Vò TuÊn Chiªu	NguyÔn K×
877	A	Cã bao nhiªu vÞ thÇn trªn ®Ønh Olympus?	12	9	15	17
878	A	V¨n MiÕu, tr­êng ®¹i häc ®Çu tiªn cña ViÖt Nam, ®­îc x©y dùng d­íi triÒu ®¹i nµo?	Nhµ hä Lý	Nhµ hä TrÇn	Nhµ hä Ng«	Nhµ hä NguyÔn
879	A	TriÒu ®¹i nhµ NguyÔn b¾t ®Çu tõ n¨m nµo?	1802	1790	1845	1860
880	A	ViÖt Nam trë thµnh thµnh viªn cña Liªn Hîp Quèc vµo n¨m nµo?	1977	1989	1979	1972
881	A	§Êt n­íc nµo lµ quª h­¬ng cña «ng giµ tuyÕt?	PhÇn Lan	Anh	§an M¹ch	Mü
882	A	NÒn v¨n minh Babylon ngµy nay thuéc ®Êt n­íc nµo?	Iraq	Arab Saudi	Iran	Hy L¹p
883	A	Thñ ®« n­íc nµo l©u ®êi nhÊt ®«ng Nam ¸?	Hµ Néi - ViÖt Nam	Bangkok - Th¸i Lan	Viªng Ch¨n - Lµo	Phnom Penh - Campuchia
884	A	Bao nhiªu % d©n Trung Quèc ®· x©y dùng V¹n Lý Tr­êng Thµnh thêi bÊy giê?	70	20	30	60
885	A	B¹n cho biÕt vua Lª nµo cã tªn tuæi rùc rì nhÊt trong thêi kú trÞ n­íc?	Lª Th¸nh T«ng	Lª HiÒn T«ng	Lª Th¸i Tæ	Lª Nh©n T«ng
886	A	B¹n cho biÕt tõ n¨m 2001, møc l­¬ng cña tæng thèng Mü lµ bao nhiªu (USD)?	400	300	500	600
887	A	Giai ®o¹n "§«ng Chu LiÖt Quèc" trong lÞch sö Trung Hoa tÝnh tõ thêi kú nhµ nµo ®Õn thêi nhµ nµo?	Chu - TrÇn	Chu - Tïy	TÇn - Tèng	Tèng - Nguyªn
888	A	Hai c©u th¬ "Lèi x­a xe ngùa hån thu th¶o. §Òn cò l©u ®µi bãng tÞch d­¬ng" lµ cña t¸c gi¶ nµo?	Bµ HuyÖn Thanh Quan	Hå Xu©n H­¬ng	§oµn ThÞ §iÓm	Th©m T©m
889	A	Nh¹c sÜ TrÞnh C«ng S¬n tõng ®o¹t gi¶i "§Üa vµng" t¹i NhËt víi ca khóc nµo?	Ngñ ®i con	B«ng hång cµi ¸o	HuyÒn tho¹i mÑ	Nguån céi
890	A	Thñ ®« cña Canada lµ?	Ottawa	Quebec	Montreal	Ontario
891	A	Bøc tranh "ThiÕu n÷ ngåi bªn hoa HuÖ" cña t¸c gi¶ nµo?	T« Ngäc V©n	TrÇn V¨n CÈn	Bïi Xu©n Ph¸i	NguyÔn S¸ng
892	A	Quª h­¬ng cña bia Heineken ë ®©u?	Ba Lan	Hµ Lan	Thôy §iÓn	Thôy SÜ
893	A	Lµng Yªn Phô ë Hµ Néi næi tiÕng víi nghÒ g×?	Lµm h­¬ng	Kim hoµn	Lµm cèm	§óc ®ång
894	A	§©u lµ tõ ®óng chÝnh t¶ nhÊt?	ChÊt ph¸c	ChÊc ph¸t	ChÊt ph¸t	ChÊc ph¸c
895	A	S©n vËn ®éng "C«ng viªn c¸c hoµng tö" lµ s©n nhµ cña c©u l¹c bé nµo?	Paris Saint Germain	Liverpool	AC Milan	Ajax Amstecdams
896	A	Phong trµo "v¨n hãa phôc h­ng" xuÊt hiÖn ®Çu tiªn ë n­íc nµo?	ý	Anh	Ph¸p	§øc
897	A	Tªn "NhËp V©n Long" lµ tªn hiÖu cña nh©n vËt nµo trong bé tiÓu thuyÕt næi tiÕng Thñy Hö?	C«ng T«n Th¾ng	L©m Xung	Lç TrÝ Th©m	Lý Quú
898	A	Tªn tiÕng Anh viÕt t¾t cña hÖ thèng tiÒn tÖ Ch©u ¢u lµ g×?	EMS	EMU	EFTA	ECU
899	A	Mét trong c¸c bé phim ®o¹t gi¶i Oscar lÇn thø 78?	Crask	Titanic	Brokeback Mountain	Munich
900	A	Nhµ h¸t kÞch næi tiÕng thÕ giíi c¶ ba mÆt ®Òu h­íng ra biÓn thuéc ®Êt n­íc nµo?	óc	Anh	Mü	Thôy §iÓn
901	A	Hoa Loa KÌn th­êng xuÊt hiÖn vµo mïa nµo trong n¨m?	H¹	Xu©n	Thu	§«ng
902	A	Bµi h¸t trong phim "Vî chång A Phñ" lµ g×?	Bµi ca trªn nói	HuyÒn tho¹i hå nói Cèc	Ch¶y ®i s«ng ¬i	D­ ©m
903	A	Ai ®· kh¾c ch÷ "Nam thiªn ®Ö nhÊt ®éng" lªn cöa ®éng H­¬ng TÝch?	Chóa TrÞnh S©m	Chu M¹nh Trinh	Vua B¶o §¹i	Nam Ph­¬ng Hoµng HËu
904	A	TruyÖn KiÒu cña NguÔn Du tæng céng gåm bao nhiªu c©u th¬?	3254	3001	3203	3541
905	A	Quü nhi ®ång liªn hîp quèc viÕt t¾t lµ g×?	UNICEF	UNESCO	UNDP	UNHCR
906	A	Bµi h¸t "GiÊc m¬ AiKia" ®­îc sö dông trong bé phim nµo?	Nh÷ng c« g¸i ch©n dµi	Yªu lÇm	39 ®é yªu	G¸i nh¶y
907	A	Trong t¸c phÈm Tam Quèc ChÝ, ng­êi ®­îc mÖnh danh lµ "Phông Så"?	Bµng Thèng	Chu Du	Gia C¸t L­îng	T­ M· ý
908	A	Danh häa næi tiÕng "Van Gogh" lµ ng­êi n­íc nµo?	Hµ Lan	Nga	Canada	BØ
909	A	Gi¶i v« ®Þch bãng ®¸ thÕ giíi (WorldCup) n¨m 2010 ®­îc tæ chøc ë ®©u?	TÊt c¶ ®Òu sai	§øc	Brazil	Australia
910	A	Ban nh¹c huyÒn tho¹i nµo thÓ hiÖn ca khóc "Yesterday"?	The Beatles	ABBA	U2	Queen
911	A	Bé phim "Hoµng Kim Gi¸p" nãi vÒ triÒu ®¹i nµo cña Trung Quèc?	Nhµ §­êng	Nhµ Tèng	Nhµ Nguyªn	Nhµ Tïy
912	A	Bao nhiªu n¨m th× n­íc ta tiÕn hµnh tæng ®iÒu tra d©n sè 1 lÇn?	10	3	5	15
913	A	T¸c phÈm næi tiÕng "Chu«ng nguyÖn hån ai" cña nhµ v¨n nµo?	Ernest Miller Hemingway	Hector Malot	Mark Twain	Victor Hugo
914	A	Ng«n ng÷ chÝnh cña CuBa lµ g×?	T©y Ban Nha	Anh	Ph¸p	Latinh
915	A	Him Lam lµ cø ®iÓm tiªu diÖt ®Þch thø mÊy trong chiÕn dÞch §iÖn Biªn?	1	2	3	4
916	A	Bµi phó næi tiÕng trong lÞch sö v¨n häc ViÖt Nam "Ngäc TØnh Liªn" lµ cña vÞ Tr¹ng Nguyªn nµo?	M¹c §Ünh Chi	NguyÔn HiÒn	Tr­¬ng H¸n Siªu	Lª V¨n ThÞnh
917	A	Trong lÞch sö c©u l¹c bé Manchester United cÇu thñ ghi nhiÒu bµn th¾ng nhÊt lµ ai?	Bobby Charlton	George Best	Roy Keane	Gary Neville
918	A	Bé phim "Sao th¸ng 8" cña ®iÖn ¶nh ViÖt Nam ra ®êi n¨m nµo?	1976	1977	1978	1979
919	A	Hoµng hËu Mari Antoanet cña n­íc Ph¸p lµ vî cña vua nµo?	Luis 16	Luis 14	Luis 15	Vua kh¸c
920	A	Ai ®­îc mÖnh danh lµ "Tam Nguyªn Yªn §æ"	NguyÔn KhuyÕn	NguyÔn BØnh Khiªm	NguyÔn Du	NguyÔn Tr·i
921	A	Danh hiÖu hoa hËu thÕ giíi n¨m 2006 thuéc vÒ n­íc nµo?	CH Czech	Venezuela	Ba Lan	Thæ NhÜ Kú
922	A	Trªn ®Ønh ngän nói Tïng ë Thanh Hãa cã l¨ng mé thê vÞ anh hïng d©n téc næi tiÕng nµo?	Bµ TriÖu	Nguyªn Phi û Lan	Lª Ch©n	Hai Bµ Tr­ng
923	A	Tªn gäi kh¸c cña qu¶ m­íp ®¾ng?	Khæ qua	M­íp h­¬ng	BÇu	M­íp lai
924	A	T¸c gi¶ cña bµi th¬ "Nhí con s«ng quª h­¬ng"?	TÕ Hanh	NguyÔn Thi	§ç Trung Qu©n	Quang Dòng
925	A	T¸c gi¶ cña ca khóc "H­¬ng ngäc lan"	Anh Qu©n	Hång §¨ng	Thanh H¶i	Huy Du
926	A	Thµnh phè nµo cña Italia ®­îc Shakespeares chän lµm bèi c¶nh diÔn ra c©u chuyÖn "Romeo vµ Juliet"?	Verona	Milan	Parma	Turin
927	A	Thµnh phè nµo lµ trung t©m cña c¸ch m¹ng th¸ng 10 Nga?	Saint Peterburg (Leningrad )	Bacu	Stalingrad	Moskva
928	A	ChuyÕn bay ®Çu tiªn thÕ giíi cña 2 anh em nhµ Smith ®· nèi liÒn 2 ch©u lôc nµo?	Ch©u §¹i D­¬ng - Ch©u ¢u	Ch©u ¢u - Ch©u ¸	Ch©u Phi - Ch©u Mü	Ch©u Mü - Ch©u §¹i D­¬ng
929	A	Trong bµi th¬ "Canh mét" cña Lª Th¸nh T«ng cã c©u: "TÊp tÓnh trêi võa mäc §Çu tinh". B¹n cho biÕt §Çu tinh lµ sao n»m ë ph­¬ng nµo?	B¾c	§«ng	T©y	Nam
930	A	Sù tÝch trÇu cau theo truyÒn thuyÕt ®· x¶y ra vµo thêi vua Hïng thø bao nhiªu?	12	10	14	16
931	A	Quèc ng÷ cña Singapore?	Malaysia	Tamil	Singlish	Trung
932	A	Thµnh tÝch cao nhÊt cña ®éi tuyÓn T©y Ban Nha qua c¸c kú WorldCup?	V« ®Þch	Vßng lo¹i	H¹ng t­	H¹ng ba
933	A	§éi tuyÓn T©y Ban Nha ®· v« ®Þch Ch©u ¢u lÇn ®Çu vµo n¨m nµo?	1964	1960	1968	1972
934	A	LÇn ®Çu tiªn ®éi tuyÓn ý v« ®Þch thÕ giíi vµo n¨m nµo?	1934	1938	1942	1946
935	A	CÇu thñ ghi nhiÒu bµn th¾ng nhÊt ®éi tuyÓn T©y Ban Nha?	Raul gonzalez 	fernando Hierro 	fernando Morientes 	Luis enripue 
936	A	§Êt n­íc nµo trªn thÕ giíi cã h×nh d¹ng gièng qu¶ ít?	Chile	Cuba	Brazil	Lµo
937	A	Trong thêi kú ©m nh¹c cæ ®iÓn, khi mµ c¸c b¶n giao h­ëng ®Òu cã 4 ch­¬ng th× t¸c ph¶m nµo l¹i cã 5 ch­¬ng?	B¶n giao h­ëng ®ång quª - Beethoven	Bèn mïa - Vivaldi	Hµnh khóc Thæ NhÜ Kú - Mozart	S«ng Danube xanh - Strauss
938	A	§¹i héi thÓ thao Olympic hiÖn ®¹i lÇn ®Çu tiªn n¨m 1886 cã mÊy m«n thÓ thao dµnh cho phô n÷?	Kh«ng cã m«n nµo	2	3	1
939	A	Bµi h¸t "T×nh ca" cña Hoµng ViÖt nãi ®Õn mïa nµo trong n¨m?	Mïa xu©n	Mïa h¹	Mïa thu	Mïa ®«ng
940	A	N¨m 1928, nh©n vËt ho¹t h×nh nµo lÇn ®Çu tiªn xuÊt hiÖn?	Chuét Mickey	Thñy thñ Popeye	VÞt Donald	Tom & Jerry
941	A	World Cup lÇn ®Çu tiªn cã bao nhiªu ®éi tham dù?	13	11	12	15
942	A	§µn ®éc huyÒn lµ tªn gäi kh¸c cña lo¹i ®µn nµo?	§µn bÇu	§µn guitar	§µn piano	§µn ®¸
943	A	9 ngän nói cña nÒn ©m nh¹c thÕ giíi lµ 9 b¶n giao h­ëng cña ai?	Beethoven	Mozatr	Tchaicovsky	Vivaldi
944	A	B¸n kÝnh vßng trßn trung t©m s©n bãng ®¸ chÝnh thøc lµ bao nhiªu?	9m15	8m15	8m10	9m10
945	A	Phim C¸ch m¹ng ViÖt Nam ®Çu tiªn lµ phim g×?	Chung mét dßng s«ng	§ång tiÒn kÏm tËu ®­îc ngùa	C¸nh ®ång hoang	Phim kh¸c
946	A	Ban nh¹c ABBA gåm bao nhiªu thµnh viªn?	4	3	5	2
947	A	M«n vâ nµo ®­îc gäi lµ HiÖp khÝ ®¹o? 	Aikido	Judo	Pencat silat	Karatedo
948	A	Quèc gia nµo giµnh nhiÒu huy ch­¬ng vµng thø 3 Olympic Athens 2004?	Nga	Anh	Hylap	T©y Ban Nha
949	A	§éi tuyÓn bãng ®¸ n­íc nµo v« ®Þch Euro n¨m 1976?	Kh«ng ph¶i 3 ®éi trªn	§øc	Italy	Ph¸p
950	A	PhÇn 1 vµ 2 cña bé phim Harry Potter do ai ®¹o diÔn?	James Cameron	Christina Anguilera	Scorpions	Kh«ng ph¶i 3 ng­êi trªn
951	A	The Rock (diÔn viªn næi tiÕng trong X¸c ­íp Ai CËp vµ Vua Bä c¹p) tõng xuÊt th©n lµ?	Vâ sÜ ®« vËt	CÇu thñ	Båi bµn	TÊt c¶ ®Òu sai
952	A	Joseph Haydn, t¸c gi¶ cña 104 b¶n giao h­ëng, cha ®Î cña giao h­ëng cæ ®iÓn quy ®Þnh mét b¶n giao h­ëng gåm bao nhiªu ch­¬ng?	4	3	5	6
953	A	Trong bãng chµy, ®éi nµo ®­îc ch¬i tr­íc?	§éi kh¸ch ch¬i tr­íc.	§éi th¾ng khi ph©n ®Þnh b»ng ®ång xu.	QuyÕt ®Þnh cña träng tµi.	Chñ nhµ ch¬i tr­íc.
954	A	Gi¶i th­ëng ®iÖn ¶nh vµ truyÒn h×nh BAFTA lµ cña n­íc nµo?	Anh	Mü	Ên §é	Italya
955	A	Bé phim ®Çu tiªn mµ lêi tho¹i trong phim cã thÓ nghe ®­îc lµ bé phim nµo? Phim nµy s¶n xuÊt n¨m 1927	Ca sÜ nh¹c Jazz	Steam Boat	B¹ch TuyÕt vµ 7 chó lïn	Mickey Mouse
956	A	Thi S¸ch hä g×?	§Æng	Ng«	Lª	Ph¹n
957	A	Tªn gèc cña lo¹i b¸nh lµ ®Æc s¶n cña Tõ S¬n, §×nh B¶ng, B¾c Ninh? Nã th­êng ®­îc gäi lµ g×?	B¸nh phu thª - suxª	B¸nh c¸y	B¸nh ®a	B¸nh cu ®¬
958	A	Héi Tao §µn do Lª Th¸nh T«ng thµnh lËp cã bao nhiªu ng­êi?	28	29	30	31
959	A	18-4-1288, triÒu ®×nh nhµ TrÇn ®· tæ chøc d©ng tï binh nhµ Nguyªn ®Ó tá lßng biÕt ¬n víi d©n téc ë ®©u?	L¨ng vua TrÇn Th¸i T«ng.	Th¨ng Long.	BÕn B×nh Than.	Qu©n doanh V¹n KiÕp.
960	A	ë Hµ Néi, x¸c B52 cã ë hå nµo?	Hå Ngäc Hµ	Hå T©y	Hå tróc b¹ch	Hå Ngäc Kh¸nh
961	A	§Êt n­íc cã b¶ng ch÷ c¸i gåm 76 ch÷ c¸i.	Cambodia	Nga	China	Ph¸p
962	A	Ng­êi lao ®éng ë ®Êt n­íc nµo kh«ng ph¶i ®ãng thuÕ?	Vatican	Thôy Sü	Kuwait	Singapore
963	A	Vµo nh÷ng n¨m 1850-1870, n­íc nµo cã nÒn c«ng nghiÖp ®øng ®Çu thÕ gi¬i vµ ®­îc coi lµ "c«ng x­ëng cña thÕ giíi"?	Anh	Ph¸p	Mü 	§øc
964	A	Hå ChÝ Minh viÕt b¶n di chóc ®Çu tiªn vµo n¨m nµo?	1965	1960	1966	1890
965	A	HuyÖn Nga S¬n, TØnh Thanh Hãa næi tiÕng víi nghÒ thñ c«ng nµo?	DÖt chiÕu	DÖt v¶i	Lµm chiÕu	Lµm nãn
966	A	NguyÔn §×nh ChiÓu sinh ra ë ®©u?	Gia §Þnh	Cao B»ng	Qu¶ng Ninh	NghÖ An
967	A	B¸c Hå ph¸t ®éng TÕt Trång C©y vµo n¨m nµo?	1960	1965	1961	1954
968	A	¤ng tæ cña "§ên ca tµi tö"?	Cao V¨n LÇu	NguyÔn V¨n Ch¸nh	NguyÔn Th­îng HiÒn	Cao B¸ Long
969	A	NguyÔn TÊt Thµnh lÊy tªn lµ NguyÔn ¸i Quèc vµo n¨m nµo?	1919	1980	1965	1954
970	A	B¶n ¸n chÕ ®é Thùc d©n Ph¸p cña Hå ChÝ Minh gåm bao nhiªu ch­¬ng vµ bao nhiªu phô lôc?	12 ch­¬ng vµ 1 phô lôc	12 ch­¬ng vµ 9 phô lôc	5 ch­¬ng vµ 3 phô lôc	12 ch­¬ng vµ 5 phô lôc
971	A	Chïa nµo ®­îc Lý Nam §Õ cho x©y dùng sau khi lªn ng«i hoµng ®Õ n¨m 544?	Chïa ChÊn Quèc	Chïa 1 cét	Chïa H­¬ng	Chïa PhËt TÝch
972	A	Líp mµng v«i máng xuÊt hiÖu trªn r¨ng khi b¹n th­ìng xuyªn quªn ch¶i r¨ng gäi lµ g×?	Cao r¨ng	Men r¨ng	S©u r¨ng	Kh«ng ph¶i 3 lo¹i trªn
973	A	Thiªn thÓ nµo lín ®Ôn nçi ngay c¶ ¸nh s¸ng còng kh«ng tho¸t khái träng lùc cña nã?	Hè ®en	Hè s©u	Hè ¸nh s¸ng	Lo¹i kh¸c
974	A	Dßng s«ng b¨ng di chuyÓn chËm dÇn xuèng d­íi ch©n nói gäi lµ g×?	B¨ng hµ	B¨ng tan	B¨ng tr«i	B¨ng ®¸
975	A	Danh t­íng cã c©u nãi næi tiÕng "Ngåi yªn ®îi giÆc kh«ng b»ng ®em qu©n ra tr­íc ®Ó chÆn mòi nhän cña giÆc" lµ ai?	Lý Th­êng KiÖt	TrÇn Quèc To¶n	Vâ Nguyªn Gi¸p	Ng­êi kh¸c
976	A	Bµi h¸t "B¸c ®ang cïng chóng ch¸u hµnh qu©n" do ai s¸ng t¸c?	Huy Thôc	Hoµng Ngäc Ph¸ch	TrÇn TiÕn	TrÇn HiÕu
977	A	TiÓu thuyÕt v¨n häc ®Çu tiªn cña ViÖt Nam lµ t¸c phÈm nµo?	Tè t©m	Sèng mßn	¸nh tr¨ng quª	kh«ng ph¶i 3 t¸c phÈm trªn
978	A	N¨m ph¸t minh ra Penecilin?	1928	1929	1930	1931
979	A	§¬n vÞ d©n c­ nhá nhÊt ë vïng d©n téc kh¬ me Nam bé, t­¬ng ®­¬ng víi lµng ®­îc gäi lµ g×?	Sãc	Bu«n	B¶n	Vïng
980	A	Kim lo¹i nµo cã nhiÒu nhÊt trong líp vá tr¸i ®Êt?	Nh«m	S¾t	§ång	Ch×
981	A	§µn Guitar th­êng cã mÊy d©y?	6	5	7	8
982	A	Braxin ®· tõng lµ thuéc ®Þa cña n­íc nµo?	Bå §µo Nha	Anh	Ph¸p	Mü
983	A	TrÇn Quèc TuÊn lµ con cña ai?	TrÇn LiÔu	TrÇn B¸ Nhi	NguyÔn §øc Long	NguyÔn Thµn
984	A	Hång K «ng ®­îc trao tr¶ l¹i cho Trung Quèc vµo n¨m nµo?	1997	1996	1998	1999
985	A	Bé phim "Rõng ph­¬ng Nam" ®­îc chuyÓn thÓ tõ truyÖn ng¾n nµo?	§Êt rõng ph­¬ng nam	§Êt Ph­¬ng nam 	Quª h­¬ng t«i	kh«ng ph¶i ph­¬ng ¸n trªn
986	A	Con ng­¬i cña mÌo thu nhá nhÊt vµo lóc nµo?	Khi n¾ng chãi	Ban ®ªm	Khi b¾t chuét	Lu«n lu«n më to
987	A	Quèc hiÖu ®Çu tiªn cña n­íc ta?	V¨n Lang	§¹i cæ viÖt	ViÖt Nam	ViÖt
988	A	Tªn viÕt t¾t cña ng©n hµng ph¸t triÓn Ch©u ¸?	ADB	UDP	ADP	ASK
989	A	§µn thËp lôc cßn gäi lµ ®µn g×?	§µn tranh	§µn ®¸y	§µn Guitar	Kh«ng cã tªn gäi kh¸c
990	A	§©y lµ n¨m ®¸nh dÊu rÊt nhiÒu sù kiÖn quan träng trªn thÕ giíi: chó cõu Dolly ®­îc nh©n b¶n v« tÝnh ra ®êi , n¨m mÊt cña c«ng n­¬ng Diana .. ®ã lµ n¨m nµo	1997	1995	1996	2000
991	A	Ngµy thu ph©n lµ ngµy nµo?	23-9	25-10	40516	23-5
992	A	CÇu Mü ThuËn b¾c qua con s«ng nµo?	S«ng TiÒn	S«ng Hång	S«ng Th­¬ng	S«ng Cöu Long
993	A	M«n thÓ thao nµo mµ tªn cña nã cã nghÜa lµ Tay kh«ng?	Karate	Bãng ®¸	Bãng chµy	Bãng ræ
994	A	Nh¹c cô gâ cæ nhÊt cña n­íc ta tªn lµ g×?	§µn ®¸	Trèng ®ång	Trèng ®¸	kh«ng ph¶i 3 lo¹i trªn
995	A	Cã bao nhiªu vÞ tr¹ng nguyªn d­íi thêi vua Gia Long?	kh«ng cã tr¹ng nguyªn	1	2	10
996	A	Mét sµo b»ng bao nhiªu th­íc?	15	10	20	100
997	A	Ng­êi ViÖt Nam ®Çu tiªn ®­îc Unessco c«ng nhËn lµ danh nh©n v¨n ho¸ thÕ giíi?	NguyÔn Tr·i	NguyÔn KhuyÕn	Hå ChÝ Minh	TrÇn Quèc To¶n
998	A	S«ng MeKong b¾t nguån tõ ®©u?	Trung Quèc	Lµo	Campuchia	ViÖt Nam
999	A	§µn Guitar cã nguån gèc tõ n­íc nµo?	T©y Ban Nha	Anh	Trung Quèc	ViÖt Nam
1000	A	Bµi h¸t "Lªn Ngµn" lµ cña t¸c gi¶ nµo?	Hoµng ViÖt	TrÇn TiÕn	TrÇn HiÕu	kh«ng biÕt t¸c gi¶
1001	A	L¸ cê n­íc Mü cã bao nhiªu ng«i sao?	50	51	45	100
1002	A	Tªn Quèc gia v« ®Þch bãng ®¸ ch©u ©u n¨m 1992?	§an M¹ch	Anh	Ph¸p	§øc
1003	A	Tr­íc khi tan vì Liªn bang X« viÕt cã bao nhiªu n­íc?	15	11	12	14
1004	A	NguyÔn Tr·i viÕt B×nh Ng« Ëi C¸o vµo n¨m nµo?	1427	1834	1440	1228
1005	A	Bµ HuyÖn Thanh Quan t¶ c¶nh ®Ìo ngang vµo thêi gian nµo trong ngµy?	ChiÒu	S¸ng	Tr­a	Tèi
1006	A	Lo¹i c©y vÏ trªn l¸ cê cña Liªn Hîp Quèc lµ c©y g×?	¤Liu	Cä	Nhµi	Hång
1007	A	Cã bao nhiªu bé l¹c hîp thµnh nhµ n­íc V¨n Lang?	15	9	10	17
1008	A	Beethoven viÕt ®­îc bao nhiªu b¶n nh¹c giao h­ëng?	9	5	6	13
1009	A	¢m thanh cña ve sÇu c¸i ph¸t ra tõ ®©u?	Kh«ng cã ©m thanh	C¸nh	Måm	§u«i
1010	A	§Ønh nói cao nhÊt n­íc ta (Fansipan) thuéc tØnh nµo?	Lµo Cai	S¬n La	Cao B»ng	B¾c K¹n
1011	A	Trong thÕ kû XX n­íc T©y Ban Nha tæ chøc WorldCup vµo n¨m nµo?	1982	1991	1988	1983
1012	A	Say it your way lµ khÈu hiÖu cña m¹ng di ®éng nµo? 	Viettel	Vina	Mobile	VN Mobile
1013	A	Ao thu l¹nh lÏo n­íc trong veo lµ c©u th¬ trong bµi th¬ nµo?	Thu §iÕu	Thu VÞnh	Thu Èm	Kh«ng ph¶i
1014	A	ViÖt Nam lµ thµnh viªn th­ bao nhiªu cña WTO?	150	140	145	151
1015	A	WTO tiÕp nhËn ®¬n xin gia nhËp cña ViÖt Nam vµo n¨m nµo?	1995	1994	1997	1997
1016	A	VÞnh H¹ Long ®­îc Unessco céng nhËn lµ di s¶n thiªn nhiªn thÕ giíi vµo n¨m nµo?	1994	1995	1996	1997
1017	A	Héi chïa thÇy thuéc tØnh nµo?	Hµ T©y (Cò)	B¾c Ninh	L¹ng S¬n	B¾c Giang
1018	A	Nh¹c sÜ nµo cã t¸c phÈm ®­îc dÞch ra tiÕng n­íc ngoµi nhiÒu nhÊt?	TrÞnh C«ng S¬n	TrÇn TiÕn	TrÇn HiÕu	Duy M¹nh
1019	A	C¶ng lín nhÊt §«ng Nam ¸ lµ c¶ng nµo?	Singapore	Lµo	ViÖt Nam	Th¸i Lan
